dataset,v050_col,B_var,B_descricao,C_nome,category
households,V208,V208,Uso,Uso,DROPPED_FROM_IBGE_2025
households,V3,V3,Mesorregião,Mesorregião,DROPPED_FROM_IBGE_2025
households,V4,V4,Microrregião,Microrregião,DROPPED_FROM_IBGE_2025
households,V6,V6,Distrito,Distrito,DROPPED_FROM_IBGE_2025
households,V602,V602,Aluguel ou Prestação Mensal,Aluguel ou Prestação Mensal,DROPPED_FROM_IBGE_2025
households,V603,V603,Peso,Peso de Domicílio,DROPPED_FROM_IBGE_2025
population,V198,,,,DROPPED_FROM_IBGE_2025
population,V201,,,,DROPPED_FROM_IBGE_2025
population,V202,,,,DROPPED_FROM_IBGE_2025
population,V203,,,,DROPPED_FROM_IBGE_2025
population,V204,,,,DROPPED_FROM_IBGE_2025
population,V205,,,,DROPPED_FROM_IBGE_2025
population,V206,,,,DROPPED_FROM_IBGE_2025
population,V207,,,,DROPPED_FROM_IBGE_2025
population,V208,,,,DROPPED_FROM_IBGE_2025
population,V209,,,,DROPPED_FROM_IBGE_2025
population,V211,,,,DROPPED_FROM_IBGE_2025
population,V212,,,,DROPPED_FROM_IBGE_2025
population,V213,,,,DROPPED_FROM_IBGE_2025
population,V214,,,,DROPPED_FROM_IBGE_2025
population,V215,,,,DROPPED_FROM_IBGE_2025
population,V216,,,,DROPPED_FROM_IBGE_2025
population,V217,,,,DROPPED_FROM_IBGE_2025
population,V218,,,,DROPPED_FROM_IBGE_2025
population,V219,,,,DROPPED_FROM_IBGE_2025
population,V220,,,,DROPPED_FROM_IBGE_2025
population,V221,,,,DROPPED_FROM_IBGE_2025
population,V3,V3,Mesorregião,Mesorregião,DROPPED_FROM_IBGE_2025
population,V4,V4,Microrregião,Microrregião,DROPPED_FROM_IBGE_2025
population,V517,V517,Tempo residência Município atual,Há quanto anos mora neste Município,DROPPED_FROM_IBGE_2025
population,V518,V518,UF do Município anterior,UF e/ou Município anterior,DROPPED_FROM_IBGE_2025
population,V521,V521,Grau que freqüenta,Grau de série que freqüenta,DROPPED_FROM_IBGE_2025
population,V598,V598,Situação da pessoa,,DROPPED_FROM_IBGE_2025
population,V6,V6,Distrito,Distrito,DROPPED_FROM_IBGE_2025
population,V602,,,,DROPPED_FROM_IBGE_2025
population,V603,,,,DROPPED_FROM_IBGE_2025
population,V604,V604,Peso,,DROPPED_FROM_IBGE_2025
population,V605,V605,Idade em meses,,DROPPED_FROM_IBGE_2025
population,V606,V606,Idade em anos,,DROPPED_FROM_IBGE_2025
population,V607,V607,Rendimento bruto ocup. principal,Rendimento médio mensal bruto recebido em dinheiro na ocupação principal,DROPPED_FROM_IBGE_2025
population,V608,V608,Rendimento prod/merc ocup princ,Rendimento médio mensal bruto auferido pelo recebimento de produtos ou mercadorias na ocupação principal,DROPPED_FROM_IBGE_2025
population,V609,V609,Renda  dinh bruto outras ocupação,Renda em dinheiro bruto outras ocupações,DROPPED_FROM_IBGE_2025
population,V610,V610,Rendimento recebido aposentado,Rendimento bruto mensal percebido de aposentadoria,DROPPED_FROM_IBGE_2025
population,V611,V611,Rendimento recebido aluguel,Rendimento médio mensal proveniente de aluguel,DROPPED_FROM_IBGE_2025
population,V612,V612,Rendimento recebido de doações,Rendimento médio mensal recebido de doações,DROPPED_FROM_IBGE_2025
population,V613,V613,Rendimento recebido outros ren.,Média mensal de outros rendimentos,DROPPED_FROM_IBGE_2025
